,County,State,2020 Base Population,2020 Pop Estimate,2021 Pop Estimate,2022 Pop Estimate,2023 Pop Estimate,State Code,County Code
866,Plymouth County,Iowa,"25,699","25,692","25,731","25,722","25,722",19,149
867,Pocahontas County,Iowa,"7,075","7,065","7,039","7,073","6,976",19,151
868,Polk County,Iowa,"492,410","493,022","497,842","501,184","505,255",19,153
869,Pottawattamie County,Iowa,"93,666","93,669","93,410","93,065","93,179",19,155
870,Poweshiek County,Iowa,"18,659","18,631","18,624","18,518","18,453",19,157
871,Ringgold County,Iowa,"4,660","4,639","4,632","4,688","4,642",19,159
872,Sac County,Iowa,"9,822","9,799","9,768","9,689","9,686",19,161
873,Scott County,Iowa,"174,671","174,609","174,225","173,751","174,270",19,163
874,Shelby County,Iowa,"11,760","11,735","11,780","11,711","11,806",19,165
875,Sioux County,Iowa,"35,863","35,885","35,959","36,127","36,246",19,167
876,Story County,Iowa,"98,533","98,649","99,679","98,257","98,566",19,169
877,Tama County,Iowa,"17,133","17,081","16,898","16,943","16,833",19,171
878,Taylor County,Iowa,"5,893","5,862","5,866","5,875","5,924",19,173
879,Union County,Iowa,"12,142","12,132","12,049","11,903","11,906",19,175
880,Van Buren County,Iowa,"7,206","7,222","7,258","7,252","7,266",19,177
881,Wapello County,Iowa,"35,436","35,326","35,295","35,081","35,166",19,179
882,Warren County,Iowa,"52,398","52,591","53,485","54,303","55,205",19,181
883,Washington County,Iowa,"22,566","22,542","22,522","22,542","22,560",19,183
884,Wayne County,Iowa,"6,502","6,512","6,531","6,490","6,557",19,185
885,Webster County,Iowa,"37,002","36,996","37,170","36,652","36,485",19,187
886,Winnebago County,Iowa,"10,683","10,662","10,661","10,639","10,571",19,189
887,Winneshiek County,Iowa,"20,064","20,045","19,935","19,902","19,815",19,191
888,Woodbury County,Iowa,"105,939","105,912","105,749","105,558","105,951",19,193
889,Worth County,Iowa,"7,445","7,436","7,377","7,311","7,297",19,195
890,Wright County,Iowa,"12,942","12,916","12,813","12,695","12,656",19,197
891,Allen County,Kansas,"12,522","12,533","12,498","12,489","12,412",20,1
892,Anderson County,Kansas,"7,834","7,839","7,807","7,798","7,838",20,3
893,Atchison County,Kansas,"16,347","16,328","16,236","16,053","16,016",20,5
894,Barber County,Kansas,"4,228","4,198","4,099","4,124","4,071",20,7
895,Barton County,Kansas,"25,501","25,427","25,263","25,058","24,899",20,9
896,Bourbon County,Kansas,"14,362","14,335","14,326","14,443","14,408",20,11
897,Brown County,Kansas,"9,501","9,472","9,446","9,373","9,250",20,13
898,Butler County,Kansas,"67,376","67,391","67,976","68,289","68,632",20,15
899,Chase County,Kansas,"2,573","2,571","2,604","2,568","2,579",20,17
900,Chautauqua County,Kansas,"3,384","3,386","3,389","3,387","3,347",20,19
901,Cherokee County,Kansas,"19,367","19,309","19,186","19,025","19,054",20,21
902,Cheyenne County,Kansas,"2,616","2,614","2,637","2,618","2,636",20,23
903,Clark County,Kansas,"1,992","1,979","1,958","1,939","1,847",20,25
904,Clay County,Kansas,"8,110","8,121","8,090","8,041","8,007",20,27
905,Cloud County,Kansas,"9,035","9,009","8,954","8,934","8,854",20,29
906,Coffey County,Kansas,"8,359","8,357","8,337","8,252","8,251",20,31
907,Comanche County,Kansas,"1,685","1,678","1,663","1,690","1,655",20,33
908,Cowley County,Kansas,"34,554","34,534","34,624","34,423","34,157",20,35
909,Crawford County,Kansas,"38,971","38,948","39,028","39,145","38,764",20,37
910,Decatur County,Kansas,"2,764","2,759","2,766","2,689","2,712",20,39
911,Dickinson County,Kansas,"18,401","18,373","18,465","18,355","18,445",20,41
912,Doniphan County,Kansas,"7,509","7,474","7,456","7,475","7,493",20,43
913,Douglas County,Kansas,"118,779","118,784","119,493","120,007","120,553",20,45
914,Edwards County,Kansas,"2,903","2,884","2,802","2,760","2,733",20,47
915,Elk County,Kansas,"2,486","2,482","2,439","2,448","2,467",20,49
916,Ellis County,Kansas,"28,935","28,948","28,850","28,840","28,810",20,51
917,Ellsworth County,Kansas,"6,382","6,369","6,324","6,383","6,357",20,53
918,Finney County,Kansas,"38,466","38,304","38,079","37,639","37,466",20,55
919,Ford County,Kansas,"34,288","34,215","34,186","33,924","33,980",20,57
920,Franklin County,Kansas,"25,983","26,000","26,002","25,959","26,125",20,59
921,Geary County,Kansas,"36,735","36,760","36,116","35,529","35,047",20,61
922,Gove County,Kansas,"2,722","2,714","2,747","2,742","2,735",20,63
923,Graham County,Kansas,"2,412","2,403","2,400","2,397","2,376",20,65
924,Grant County,Kansas,"7,352","7,326","7,333","7,250","7,147",20,67
925,Gray County,Kansas,"5,655","5,647","5,664","5,711","5,743",20,69
926,Greeley County,Kansas,"1,282","1,274","1,282","1,232","1,181",20,71
927,Greenwood County,Kansas,"6,018","5,977","5,921","5,908","5,870",20,73
928,Hamilton County,Kansas,"2,517","2,487","2,478","2,452","2,437",20,75
929,Harper County,Kansas,"5,490","5,472","5,355","5,400","5,435",20,77
930,Harvey County,Kansas,"34,019","33,986","33,788","33,671","33,504",20,79
931,Haskell County,Kansas,"3,781","3,760","3,652","3,595","3,630",20,81
932,Hodgeman County,Kansas,"1,721","1,737","1,724","1,697","1,655",20,83
933,Jackson County,Kansas,"13,231","13,239","13,263","13,292","13,368",20,85
934,Jefferson County,Kansas,"18,360","18,323","18,429","18,354","18,327",20,87
935,Jewell County,Kansas,"2,929","2,927","2,942","2,885","2,847",20,89
936,Johnson County,Kansas,"609,877","611,149","614,889","619,091","622,237",20,91
937,Kearny County,Kansas,"3,982","3,962","3,897","3,865","3,823",20,93
938,Kingman County,Kansas,"7,473","7,425","7,291","7,174","7,066",20,95
939,Kiowa County,Kansas,"2,461","2,455","2,409","2,405","2,374",20,97
940,Labette County,Kansas,"20,191","20,170","19,914","19,702","19,728",20,99
941,Lane County,Kansas,"1,573","1,568","1,561","1,544","1,529",20,101
942,Leavenworth County,Kansas,"81,901","81,966","82,398","82,922","83,518",20,103
943,Lincoln County,Kansas,"2,940","2,949","2,910","2,911","2,920",20,105
944,Linn County,Kansas,"9,592","9,587","9,740","9,777","9,860",20,107
945,Logan County,Kansas,"2,758","2,739","2,710","2,703","2,665",20,109
946,Lyon County,Kansas,"32,178","32,113","32,028","32,031","32,172",20,111
947,McPherson County,Kansas,"30,221","30,184","30,164","30,063","30,091",20,113
948,Marion County,Kansas,"11,834","11,793","11,750","11,783","11,690",20,115
949,Marshall County,Kansas,"10,034","10,023","10,021","9,992","9,933",20,117
950,Meade County,Kansas,"4,062","4,061","3,997","3,913","3,911",20,119
951,Miami County,Kansas,"34,193","34,224","34,641","34,791","35,320",20,121
952,Mitchell County,Kansas,"5,792","5,773","5,744","5,730","5,719",20,123
953,Montgomery County,Kansas,"31,492","31,404","31,181","30,853","30,568",20,125
954,Morris County,Kansas,"5,391","5,369","5,386","5,400","5,334",20,127
955,Morton County,Kansas,"2,700","2,700","2,671","2,601","2,580",20,129
956,Nemaha County,Kansas,"10,274","10,262","10,226","10,164","10,114",20,131
957,Neosho County,Kansas,"15,900","15,905","15,787","15,583","15,420",20,133
958,Ness County,Kansas,"2,682","2,673","2,651","2,657","2,618",20,135
959,Norton County,Kansas,"5,457","5,453","5,369","5,325","5,330",20,137
960,Osage County,Kansas,"15,765","15,741","15,752","15,705","15,824",20,139
961,Osborne County,Kansas,"3,494","3,490","3,485","3,481","3,427",20,141
962,Ottawa County,Kansas,"5,729","5,729","5,830","5,806","5,818",20,143
963,Pawnee County,Kansas,"6,254","6,256","6,247","6,188","6,126",20,145
964,Phillips County,Kansas,"4,973","4,961","4,819","4,783","4,761",20,147
965,Pottawatomie County,Kansas,"25,343","25,411","25,873","26,292","26,382",20,149
966,Pratt County,Kansas,"9,153","9,143","9,168","9,073","9,082",20,151
967,Rawlins County,Kansas,"2,566","2,572","2,558","2,523","2,463",20,153
968,Reno County,Kansas,"61,883","61,878","61,499","61,552","61,497",20,155
969,Republic County,Kansas,"4,669","4,664","4,688","4,653","4,627",20,157
970,Rice County,Kansas,"9,426","9,389","9,389","9,370","9,260",20,159
971,Riley County,Kansas,"71,964","72,016","71,871","71,563","71,402",20,161
972,Rooks County,Kansas,"4,918","4,893","4,865","4,810","4,778",20,163
973,Rush County,Kansas,"2,951","2,938","2,928","2,941","2,830",20,165
974,Russell County,Kansas,"6,691","6,678","6,697","6,733","6,723",20,167
975,Saline County,Kansas,"54,297","54,254","53,827","53,389","53,098",20,169
976,Scott County,Kansas,"5,152","5,139","5,121","5,007","4,922",20,171
977,Sedgwick County,Kansas,"523,836","524,821","524,423","525,368","528,469",20,173
978,Seward County,Kansas,"21,963","21,857","21,763","21,345","21,067",20,175
979,Shawnee County,Kansas,"178,907","178,709","178,403","177,537","177,746",20,177
980,Sheridan County,Kansas,"2,442","2,445","2,451","2,439","2,423",20,179
981,Sherman County,Kansas,"5,926","5,897","5,932","5,876","5,844",20,181
982,Smith County,Kansas,"3,575","3,567","3,573","3,572","3,590",20,183
983,Stafford County,Kansas,"4,064","4,049","4,008","3,971","3,909",20,185
984,Stanton County,Kansas,"2,085","2,084","2,045","1,967","1,901",20,187
985,Stevens County,Kansas,"5,249","5,243","5,302","5,166","5,077",20,189
986,Sumner County,Kansas,"22,376","22,328","22,327","22,359","22,334",20,191
987,Thomas County,Kansas,"7,930","7,932","7,948","7,908","7,865",20,193
988,Trego County,Kansas,"2,805","2,803","2,788","2,746","2,731",20,195
989,Wabaunsee County,Kansas,"6,876","6,891","6,970","7,009","7,057",20,197
990,Wallace County,Kansas,"1,512","1,512","1,513","1,493","1,509",20,199
991,Washington County,Kansas,"5,530","5,530","5,525","5,493","5,504",20,201
992,Wichita County,Kansas,"2,153","2,149","2,080","2,078","2,082",20,203
993,Wilson County,Kansas,"8,629","8,582","8,520","8,554","8,382",20,205
994,Woodson County,Kansas,"3,123","3,099","3,084","3,117","3,115",20,207
995,Wyandotte County,Kansas,"169,231","168,914","167,262","165,626","165,281",20,209
996,Adair County,Kentucky,"18,904","18,883","18,966","19,097","19,264",21,1
997,Allen County,Kentucky,"20,580","20,574","20,839","21,283","21,788",21,3
998,Anderson County,Kentucky,"23,863","23,883","24,084","24,273","24,613",21,5
999,Ballard County,Kentucky,"7,730","7,713","7,687","7,642","7,582",21,7
1000,Barren County,Kentucky,"44,481","44,505","44,598","44,872","45,008",21,9
1001,Bath County,Kentucky,"12,747","12,716","12,795","12,828","12,975",21,11
1002,Bell County,Kentucky,"24,100","23,984","23,834","23,611","23,317",21,13
1003,Boone County,Kentucky,"135,988","136,468","137,747","139,045","140,496",21,15
1004,Bourbon County,Kentucky,"20,246","20,286","20,224","20,109","20,134",21,17
1005,Boyd County,Kentucky,"48,258","48,206","47,757","48,059","47,826",21,19
1006,Boyle County,Kentucky,"30,614","30,753","30,604","30,851","30,988",21,21
1007,Bracken County,Kentucky,"8,401","8,400","8,440","8,435","8,426",21,23
1008,Breathitt County,Kentucky,"13,715","13,693","13,546","13,358","12,953",21,25
1009,Breckinridge County,Kentucky,"20,435","20,447","20,687","20,961","21,124",21,27
1010,Bullitt County,Kentucky,"82,231","82,366","83,073","83,774","84,863",21,29
1011,Butler County,Kentucky,"12,369","12,316","12,302","12,365","12,375",21,31
1012,Caldwell County,Kentucky,"12,647","12,635","12,678","12,608","12,551",21,33
1013,Calloway County,Kentucky,"37,544","37,596","37,896","38,093","38,280",21,35
1014,Campbell County,Kentucky,"93,068","93,127","92,828","93,272","93,702",21,37
1015,Carlisle County,Kentucky,"4,820","4,807","4,761","4,719","4,704",21,39
1016,Carroll County,Kentucky,"10,798","10,825","10,896","10,939","10,987",21,41
1017,Carter County,Kentucky,"26,626","26,609","26,430","26,343","26,366",21,43
1018,Casey County,Kentucky,"15,939","15,918","15,940","15,911","15,918",21,45
1019,Christian County,Kentucky,"72,813","72,762","73,180","72,286","72,032",21,47
1020,Clark County,Kentucky,"36,987","37,035","36,895","36,992","37,304",21,49
1021,Clay County,Kentucky,"20,339","20,312","20,161","19,874","19,648",21,51
1022,Clinton County,Kentucky,"9,253","9,232","9,282","9,139","9,148",21,53
1023,Crittenden County,Kentucky,"8,988","9,003","8,944","8,991","8,974",21,55
1024,Cumberland County,Kentucky,"5,884","5,856","5,900","5,969","6,000",21,57
1025,Daviess County,Kentucky,"103,324","103,405","103,089","103,189","103,458",21,59
1026,Edmonson County,Kentucky,"12,132","12,152","12,237","12,302","12,448",21,61
1027,Elliott County,Kentucky,"7,352","7,334","7,361","7,292","7,245",21,63
1028,Estill County,Kentucky,"14,164","14,161","14,086","14,024","13,936",21,65
1029,Fayette County,Kentucky,"322,564","322,627","320,519","320,281","320,154",21,67
1030,Fleming County,Kentucky,"15,087","15,101","15,265","15,278","15,442",21,69
1031,Floyd County,Kentucky,"35,941","35,798","35,304","34,918","34,423",21,71
1032,Franklin County,Kentucky,"51,540","51,594","51,714","51,548","51,644",21,73
1033,Fulton County,Kentucky,"6,513","6,511","6,487","6,371","6,338",21,75
1034,Gallatin County,Kentucky,"8,693","8,673","8,763","8,773","8,792",21,77
1035,Garrard County,Kentucky,"16,946","16,963","17,366","17,566","17,829",21,79
1036,Grant County,Kentucky,"24,945","25,015","25,292","25,474","25,619",21,81
1037,Graves County,Kentucky,"36,654","36,528","36,673","36,493","36,461",21,83
1038,Grayson County,Kentucky,"26,421","26,460","26,583","26,643","26,825",21,85
1039,Green County,Kentucky,"11,110","11,132","11,325","11,392","11,468",21,87
1040,Greenup County,Kentucky,"35,958","35,877","35,643","35,375","35,221",21,89
1041,Hancock County,Kentucky,"9,093","9,101","9,073","9,027","8,920",21,91
1042,Hardin County,Kentucky,"110,696","110,829","111,878","111,743","112,273",21,93
1043,Harlan County,Kentucky,"26,833","26,754","26,150","25,652","25,324",21,95
1044,Harrison County,Kentucky,"18,692","18,719","18,957","19,105","19,415",21,97
1045,Hart County,Kentucky,"19,281","19,290","19,477","19,594","19,724",21,99
1046,Henderson County,Kentucky,"44,798","44,678","44,418","44,032","44,119",21,101
1047,Henry County,Kentucky,"15,681","15,698","15,708","15,760","15,973",21,103
1048,Hickman County,Kentucky,"4,521","4,529","4,426","4,434","4,447",21,105
1049,Hopkins County,Kentucky,"45,421","45,369","45,189","44,926","44,929",21,107
1050,Jackson County,Kentucky,"12,957","12,963","12,980","12,989","13,104",21,109
1051,Jefferson County,Kentucky,"782,964","782,845","777,251","773,095","772,144",21,111
1052,Jessamine County,Kentucky,"52,990","53,024","53,603","54,236","55,017",21,113
1053,Johnson County,Kentucky,"22,679","22,648","22,548","22,235","22,116",21,115
1054,Kenton County,Kentucky,"169,042","169,271","169,698","170,280","171,321",21,117
1055,Knott County,Kentucky,"14,246","14,158","14,032","13,847","13,659",21,119
1056,Knox County,Kentucky,"30,197","30,185","30,025","29,773","29,794",21,121
1057,Larue County,Kentucky,"14,861","14,873","15,027","15,150","15,303",21,123
1058,Laurel County,Kentucky,"62,608","62,727","62,580","62,879","63,296",21,125
1059,Lawrence County,Kentucky,"16,291","16,303","16,284","16,097","16,000",21,127
1060,Lee County,Kentucky,"7,391","7,368","7,462","7,273","7,293",21,129
1061,Leslie County,Kentucky,"10,513","10,468","10,280","10,049","9,864",21,131
1062,Letcher County,Kentucky,"21,550","21,465","21,224","20,827","20,423",21,133
1063,Lewis County,Kentucky,"13,083","13,087","12,991","12,937","12,973",21,135
1064,Lincoln County,Kentucky,"24,281","24,255","24,295","24,419","24,776",21,137
1065,Livingston County,Kentucky,"8,888","8,871","8,980","8,968","8,892",21,139
1066,Logan County,Kentucky,"27,429","27,513","27,804","27,856","28,283",21,141
1067,Lyon County,Kentucky,"8,685","8,679","8,435","9,099","9,187",21,143
1068,McCracken County,Kentucky,"67,872","67,917","67,546","67,366","67,428",21,145
1069,McCreary County,Kentucky,"16,886","16,840","16,804","16,783","17,050",21,147
1070,McLean County,Kentucky,"9,153","9,136","9,122","9,107","9,054",21,149
1071,Madison County,Kentucky,"92,705","92,993","93,474","95,151","96,735",21,151
1072,Magoffin County,Kentucky,"11,638","11,603","11,489","11,348","11,228",21,153
1073,Marion County,Kentucky,"19,579","19,592","19,739","19,748","19,834",21,155
1074,Marshall County,Kentucky,"31,664","31,691","31,829","31,790","31,744",21,157
1075,Martin County,Kentucky,"11,290","11,253","11,165","11,096","10,928",21,159
1076,Mason County,Kentucky,"17,122","17,133","16,960","16,903","16,841",21,161
1077,Meade County,Kentucky,"30,005","30,026","30,119","30,010","30,131",21,163
1078,Menifee County,Kentucky,"6,114","6,146","6,185","6,236","6,286",21,165
1079,Mercer County,Kentucky,"22,644","22,655","22,860","22,900","23,097",21,167
1080,Metcalfe County,Kentucky,"10,290","10,288","10,391","10,408","10,482",21,169
1081,Monroe County,Kentucky,"11,336","11,319","11,260","11,353","11,306",21,171
1082,Montgomery County,Kentucky,"28,109","28,112","28,230","28,357","28,527",21,173
1083,Morgan County,Kentucky,"13,729","13,735","13,689","14,146","14,283",21,175
1084,Muhlenberg County,Kentucky,"30,933","30,894","30,323","30,696","30,568",21,177
1085,Nelson County,Kentucky,"46,727","46,779","47,127","47,359","47,730",21,179
1086,Nicholas County,Kentucky,"7,532","7,541","7,733","7,786","7,686",21,181
1087,Ohio County,Kentucky,"23,771","23,747","23,744","23,496","23,626",21,183
1088,Oldham County,Kentucky,"67,607","67,693","68,238","69,444","70,183",21,185
1089,Owen County,Kentucky,"11,267","11,301","11,298","11,294","11,313",21,187
1090,Owsley County,Kentucky,"4,053","4,032","3,974","3,958","4,001",21,189
1091,Pendleton County,Kentucky,"14,648","14,648","14,635","14,703","14,810",21,191
1092,Perry County,Kentucky,"28,470","28,367","27,927","27,367","27,133",21,193
1093,Pike County,Kentucky,"58,663","58,441","57,416","56,317","55,973",21,195
1094,Powell County,Kentucky,"13,125","13,093","13,086","13,041","12,972",21,197
1095,Pulaski County,Kentucky,"65,039","65,116","65,571","65,767","66,191",21,199
1096,Robertson County,Kentucky,"2,195","2,184","2,257","2,247","2,313",21,201
1097,Rockcastle County,Kentucky,"16,036","16,059","16,134","16,225","16,190",21,203
1098,Rowan County,Kentucky,"24,656","24,722","24,569","24,372","24,409",21,205
1099,Russell County,Kentucky,"17,996","18,002","18,172","18,185","18,279",21,207
1100,Scott County,Kentucky,"57,160","57,531","58,316","59,077","60,168",21,209
1101,Shelby County,Kentucky,"48,101","48,244","48,588","48,842","49,515",21,211
1102,Simpson County,Kentucky,"19,601","19,633","19,734","19,948","20,195",21,213
1103,Spencer County,Kentucky,"19,433","19,511","19,887","20,212","20,531",21,215
1104,Taylor County,Kentucky,"26,020","26,000","26,187","26,396","26,443",21,217
1105,Todd County,Kentucky,"12,248","12,288","12,301","12,394","12,494",21,219
1106,Trigg County,Kentucky,"14,053","14,078","14,220","14,348","14,369",21,221
1107,Trimble County,Kentucky,"8,468","8,460","8,549","8,527","8,607",21,223
1108,Union County,Kentucky,"13,670","13,652","13,254","13,104","13,106",21,225
1109,Warren County,Kentucky,"134,558","135,028","137,225","140,046","142,229",21,227
1110,Washington County,Kentucky,"12,029","12,043","12,080","12,060","12,267",21,229
1111,Wayne County,Kentucky,"19,554","19,539","19,535","19,634","19,580",21,231
1112,Webster County,Kentucky,"13,014","13,018","12,852","12,739","12,726",21,233
1113,Whitley County,Kentucky,"36,714","36,698","36,761","36,908","36,825",21,235
1114,Wolfe County,Kentucky,"6,564","6,559","6,507","6,416","6,282",21,237
1115,Woodford County,Kentucky,"26,873","26,904","27,082","27,053","27,268",21,239
1116,Acadia Parish,Louisiana,"57,571","57,478","57,217","56,725","56,489",22,1
1117,Allen Parish,Louisiana,"22,752","22,687","22,588","22,287","22,112",22,3
1118,Ascension Parish,Louisiana,"126,499","126,978","128,571","130,485","131,632",22,5
1119,Assumption Parish,Louisiana,"21,046","20,963","20,696","20,463","20,160",22,7
1120,Avoyelles Parish,Louisiana,"39,692","39,646","39,261","38,715","38,408",22,9
1121,Beauregard Parish,Louisiana,"36,555","36,605","36,668","36,624","36,827",22,11
1122,Bienville Parish,Louisiana,"12,983","12,913","12,779","12,612","12,366",22,13
1123,Bossier Parish,Louisiana,"128,732","128,721","129,323","129,153","129,795",22,15
1124,Caddo Parish,Louisiana,"237,865","236,945","232,658","228,934","226,386",22,17
1125,Calcasieu Parish,Louisiana,"216,783","216,481","204,914","202,288","203,761",22,19
1126,Caldwell Parish,Louisiana,"9,646","9,615","9,576","9,493","9,389",22,21
1127,Cameron Parish,Louisiana,"5,619","5,623","5,094","4,896","4,768",22,23
1128,Catahoula Parish,Louisiana,"8,905","8,844","8,721","8,604","8,414",22,25
1129,Claiborne Parish,Louisiana,"14,168","14,103","14,043","13,849","13,670",22,27
1130,Concordia Parish,Louisiana,"18,680","18,569","18,348","18,026","17,688",22,29
1131,De Soto Parish,Louisiana,"26,812","26,845","26,949","26,856","27,114",22,31
1132,East Baton Rouge Parish,Louisiana,"456,783","455,899","453,596","450,091","448,467",22,33
1133,East Carroll Parish,Louisiana,"7,459","7,397","7,229","6,939","6,829",22,35
1134,East Feliciana Parish,Louisiana,"19,541","19,456","19,373","19,208","19,229",22,37
1135,Evangeline Parish,Louisiana,"32,342","32,297","32,213","32,033","31,754",22,39
1136,Franklin Parish,Louisiana,"19,773","19,713","19,609","19,358","19,285",22,41
1137,Grant Parish,Louisiana,"22,171","22,149","22,256","22,040","21,911",22,43
1138,Iberia Parish,Louisiana,"70,288","70,055","69,325","68,320","67,659",22,45
1139,Iberville Parish,Louisiana,"30,242","30,064","29,747","29,613","29,617",22,47
1140,Jackson Parish,Louisiana,"15,036","14,998","14,900","14,816","14,746",22,49
1141,Jefferson Parish,Louisiana,"440,783","439,725","434,134","426,030","421,777",22,51
1142,Jefferson Davis Parish,Louisiana,"32,249","32,210","32,373","31,929","31,553",22,53
1143,Lafayette Parish,Louisiana,"241,737","242,145","244,880","247,714","249,750",22,55
1144,Lafourche Parish,Louisiana,"97,565","97,454","97,599","95,751","95,056",22,57
1145,LaSalle Parish,Louisiana,"14,797","14,823","14,842","14,821","14,800",22,59
1146,Lincoln Parish,Louisiana,"48,401","48,309","48,110","47,980","47,962",22,61
1147,Livingston Parish,Louisiana,"142,282","142,834","146,121","148,056","150,145",22,63
1148,Madison Parish,Louisiana,"10,017","9,927","9,801","9,480","9,246",22,65
1149,Morehouse Parish,Louisiana,"25,638","25,465","25,021","24,414","23,955",22,67
1150,Natchitoches Parish,Louisiana,"37,516","37,387","36,973","36,648","36,291",22,69
1151,Orleans Parish,Louisiana,"383,997","383,241","377,346","369,917","364,136",22,71
1152,Ouachita Parish,Louisiana,"160,370","160,111","158,866","157,704","157,568",22,73
1153,Plaquemines Parish,Louisiana,"23,515","23,460","23,310","22,618","22,386",22,75
1154,Pointe Coupee Parish,Louisiana,"20,755","20,673","20,346","20,212","20,000",22,77
1155,Rapides Parish,Louisiana,"130,013","129,651","128,626","127,028","126,260",22,79
1156,Red River Parish,Louisiana,"7,619","7,582","7,505","7,465","7,356",22,81
1157,Richland Parish,Louisiana,"20,041","20,026","19,856","19,784","19,712",22,83
1158,Sabine Parish,Louisiana,"22,149","22,099","22,096","21,974","21,906",22,85
1159,St. Bernard Parish,Louisiana,"43,765","43,856","44,324","44,419","44,463",22,87
1160,St. Charles Parish,Louisiana,"52,548","52,513","52,470","51,058","50,620",22,89
1161,St. Helena Parish,Louisiana,"10,922","10,898","10,903","10,789","10,774",22,91
1162,St. James Parish,Louisiana,"20,197","20,120","19,794","19,388","19,191",22,93
1163,St. John the Baptist Parish,Louisiana,"42,481","42,366","42,109","39,955","39,592",22,95
1164,St. Landry Parish,Louisiana,"82,557","82,314","82,191","81,679","81,464",22,97
1165,St. Martin Parish,Louisiana,"51,768","51,634","51,562","51,249","51,057",22,99
1166,St. Mary Parish,Louisiana,"49,398","49,142","48,219","47,819","47,055",22,101
1167,St. Tammany Parish,Louisiana,"264,571","265,000","270,147","273,237","275,583",22,103
1168,Tangipahoa Parish,Louisiana,"133,162","133,654","135,488","136,799","138,064",22,105
1169,Tensas Parish,Louisiana,"4,147","4,107","4,024","3,814","3,764",22,107
1170,Terrebonne Parish,Louisiana,"109,577","109,405","108,955","104,632","103,616",22,109
1171,Union Parish,Louisiana,"21,105","21,092","21,001","20,729","20,650",22,111
1172,Vermilion Parish,Louisiana,"57,006","56,956","56,874","56,953","56,992",22,113
1173,Vernon Parish,Louisiana,"48,745","48,622","48,022","46,870","46,250",22,115
1174,Washington Parish,Louisiana,"45,463","45,357","45,198","44,991","44,865",22,117
1175,Webster Parish,Louisiana,"36,966","36,883","35,938","35,527","35,238",22,119
1176,West Baton Rouge Parish,Louisiana,"27,202","27,262","27,798","28,034","28,266",22,121
1177,West Carroll Parish,Louisiana,"9,757","9,696","9,583","9,481","9,323",22,123
1178,West Feliciana Parish,Louisiana,"15,308","15,259","15,495","15,396","15,371",22,125
1179,Winn Parish,Louisiana,"13,753","13,720","13,493","13,251","13,216",22,127
1180,Androscoggin County,Maine,"111,132","111,175","112,732","113,225","113,765",23,1
1181,Aroostook County,Maine,"67,099","67,063","67,075","67,322","67,351",23,3
1182,Cumberland County,Maine,"303,065","303,585","306,107","308,837","310,230",23,5
1183,Franklin County,Maine,"29,452","29,468","30,258","30,595","30,828",23,7
1184,Hancock County,Maine,"55,482","55,511","56,355","56,549","56,526",23,9
1185,Kennebec County,Maine,"124,503","124,712","125,752","126,535","127,259",23,11
1186,Knox County,Maine,"40,604","40,654","41,069","41,179","40,977",23,13
1187,Lincoln County,Maine,"35,248","35,263","36,024","36,285","36,507",23,15
1188,Oxford County,Maine,"57,765","57,898","58,692","59,458","59,905",23,17
1189,Penobscot County,Maine,"152,187","152,169","153,359","154,728","155,312",23,19
1190,Piscataquis County,Maine,"16,801","16,808","17,217","17,403","17,486",23,21
1191,Sagadahoc County,Maine,"36,703","36,732","37,170","37,372","37,513",23,23
1192,Somerset County,Maine,"50,481","50,473","50,782","51,118","51,302",23,25
1193,Waldo County,Maine,"39,596","39,658","39,978","40,255","40,620",23,27
1194,Washington County,Maine,"31,090","31,088","31,192","31,527","31,555",23,29
1195,York County,Maine,"211,969","212,260","215,025","216,950","218,586",23,31
1196,Allegany County,Maryland,"68,108","67,960","67,687","67,266","67,273",24,1
1197,Anne Arundel County,Maryland,"588,270","589,106","592,085","593,347","594,582",24,3
1198,Baltimore County,Maryland,"854,554","853,387","850,691","845,986","844,703",24,5
1199,Calvert County,Maryland,"92,789","92,915","94,233","94,559","94,728",24,9
1200,Caroline County,Maryland,"33,292","33,270","33,429","33,427","33,593",24,11
1201,Carroll County,Maryland,"172,895","172,941","174,313","175,472","176,639",24,13
1202,Cecil County,Maryland,"103,724","103,800","104,056","104,870","105,672",24,15
1203,Charles County,Maryland,"166,621","166,741","168,927","170,111","171,973",24,17
1204,Dorchester County,Maryland,"32,529","32,530","32,594","32,583","32,879",24,19
1205,Frederick County,Maryland,"271,710","272,786","280,647","287,540","293,391",24,21
1206,Garrett County,Maryland,"28,807","28,798","28,758","28,588","28,423",24,23
1207,Harford County,Maryland,"260,922","261,230","263,302","263,815","264,644",24,25
1208,Howard County,Maryland,"332,316","332,814","335,328","335,366","336,001",24,27
1209,Kent County,Maryland,"19,198","19,120","19,244","19,295","19,303",24,29
1210,Montgomery County,Maryland,"1,062,065","1,060,904","1,056,193","1,053,067","1,058,474",24,31
1211,Prince George's County,Maryland,"967,215","965,365","956,451","946,980","947,430",24,33
1212,Queen Anne's County,Maryland,"49,876","50,033","50,922","51,720","52,508",24,35
1213,St. Mary's County,Maryland,"113,777","113,999","114,650","114,783","115,281",24,37
1214,Somerset County,Maryland,"24,615","24,561","24,546","24,608","24,910",24,39
1215,Talbot County,Maryland,"37,523","37,488","37,756","37,814","37,823",24,41
1216,Washington County,Maryland,"154,704","154,697","155,143","155,257","155,813",24,43
